ИНДЕКСЫ  ПОТРЕБИТЕЛЬСКИХ  ЦЕН  ПО РЕСПУБЛИКЕ  БЕЛАРУСЬ;;;;;
(предыдущий месяц = 100);;;;;
;;;;;
;2 0 2 4  г о д;;;;
;январь;февраль;март;апрель;май
набор мебели для ванной комнаты;99,59;100,99;100,29;101,14;99,95
набор мебели для спальни;99,33;103,17;100,79;100,08;100,56
КОВРЫ И КОВРОВЫЕ ИЗДЕЛИЯ;101,28;100,62;100,71;100,34;100,19
ковер из синтетической пряжи;101,23;100,87;100,99;100,59;100,54
дорожка ковровая;101,31;100,48;100,54;100,20;99,99
ТЕКСТИЛЬНЫЕ ИЗДЕЛИЯ (вкл. постельное белье и принадлежности);101,08;100,38;100,68;99,30;100,32
комплект белья постельного ;101,76;100,74;100,89;98,84;100,28
одеяло (плед) шерстяное, полушерстяное;102,22;99,56;101,39;99,66;100,26
одеяло стеганое  (ватное  или  с другими наполнителями);100,77;100,02;101,41;99,54;100,44
покрывало;101,69;99,70;100,13;99,78;101,17
подушка (наполнитель натуральный или синтетический);100,75;100,15;101,34;98,96;99,79
скатерть;103,05;101,41;100,58;99,58;100,49
шторы;99,67;99,83;99,94;98,75;101,00
жалюзи, рольшторы тканевые;100,91;99,65;100,69;99,67;100,04
полотно  гардинное  тюлевое  из  синтетических  нитей;100,13;100,48;100,01;100,30;99,98
полотенце махровое банное;100,38;101,27;100,22;99,45;100,54
ПОСУДА, ПРИБОРЫ СТОЛОВЫЕ;100,20;99,85;100,11;100,29;100,09
тарелки;100,14;98,58;100,68;99,69;99,90
сервиз (набор) чайный, кофейный;100,86;100,21;101,04;100,14;99,93
ваза;100,61;101,09;100,47;99,73;100,64
рюмка, фужер из стекла;101,23;100,78;100,77;100,64;99,40
кастрюля;100,21;99,90;100,34;100,82;100,35
приборы столовые из нержавеющей стали (вилка, ложка, нож) ;100,20;100,20;99,61;99,69;99,96
сковорода с антипригарным покрытием;99,87;99,86;99,50;100,29;99,91
емкость из различных материалов для хранения продуктов;99,91;100,81;99,08;100,26;100,90
ЭЛЕКТРОТОВАРЫ;100,48;100,39;99,82;100,37;99,83
холодильник;100,67;100,26;99,70;101,09;99,52
лампа электрическая;99,96;100,15;100,01;99,25;99,86
машина стиральная ;100,54;99,87;100,20;100,27;99,45
пылесос напольный;99,74;100,81;98,98;101,07;100,08
утюг электрический;100,98;101,92;97,43;99,65;100,86
комбайн кухонный ;100,79;100,16;99,67;99,52;99,94
машина посудомоечная;99,29;102,88;99,08;100,55;99,85
люстра электрическая;100,07;100,45;100,57;99,74;100,03
чайник электрический;99,71;100,47;100,26;101,39;100,79
кофемашина электрическая;98,70;101,60;98,85;101,28;98,42
мультиварка электрическая;100,93;101,50;99,42;101,07;98,29
печь микроволновая;100,89;100,98;100,14;98,84;99,62
плита (варочная панель) бытовая электрическая;101,73;101,72;97,92;100,35;99,93
радиатор бытовой электрический;99,77;99,30;100,05;100,21;99,86
водонагреватель (80-100 л) накопительный электрический;101,48;98,89;100,10;101,29;102,22
дрель электрическая;100,43;98,66;101,35;99,48;100,39
триммер, мотокоса, газонокосилка;100,80;100,02;101,36;99,86;99,63
розетка электрическая;100,27;100,17;100,39;100,25;100,34
удлинитель;100,08;100,18;100,50;99,82;100,06
бритва электрическая;100,80;100,83;100,70;99,81;100,36
фен электрический;101,27;99,72;99,79;99,57;101,14
ТЕЛЕРАДИОТОВАРЫ;100,43;100,73;100,09;101,15;99,68
телевизор;100,45;100,78;100,03;101,34;99,62
музыкальный центр (мини-система);100,91;99,70;100,09;98,98;101,03
СТРОИТЕЛЬНЫЕ МАТЕРИАЛЫ;100,33;100,08;100,49;100,43;100,28
кирпич строительный;98,51;99,77;100,24;100,32;101,79
обои;100,46;100,34;100,79;100,67;99,93
пиломатериалы хвойные обрезные и необрезные;99,57;100,84;100,25;101,29;100,73
плитка керамическая;101,77;100,07;102,31;99,67;100,90
цемент;99,79;99,86;101,17;100,59;101,80
"шифер, лист кровельный (типа ""ондулин"")";100,61;99,36;100,63;100,36;100,08
арматура санитарно-техническая;99,89;100,02;99,78;100,85;100,38
металлопродукция;100,18;100,00;100,63;99,58;99,68
линолеум;100,48;100,59;100,54;100,88;100,71
материалы для облицовки и отделки из поливинилхлорида (ПВХ);100,39;100,04;100,18;100,44;99,54
строительные детали и конструкции из ПВХ, алюминия;102,02;100,13;100,29;100,52;100,00
строительные детали и конструкции из дерева, шпона, мелкодисперсной фракции (МДФ);100,62;100,07;100,13;100,04;100,41
ламинат ;100,03;99,88;100,35;100,59;99,79
ГАЛАНТЕРЕЯ;99,17;101,24;99,92;100,78;101,86
перчатки из натуральной кожи;100,17;99,05;99,42;101,20;100,44
сумка из искусственной кожи;98,76;100,64;100,32;100,53;101,88
сумка из натуральной кожи;98,79;102,44;99,82;100,93;102,20
рюкзак, ранец для детей школьного возраста;100,92;101,16;98,74;101,52;101,55
ремень  поясной из натуральной или искусственной кожи;98,82;100,62;100,55;99,87;102,21
галстук мужской;100,17;100,36;100,48;100,40;100,17
МЕДИКАМЕНТЫ (включая товары медицинского назначения);101,63;101,25;100,97;100,93;100,65
лекарственные препараты;101,75;101,32;100,99;100,89;100,69
антиинфекционные средства;101,71;101,11;100,76;100,66;100,84
средства для лечения пищеварительного тракта и обмена веществ;101,32;100,97;101,05;101,06;100,56
сердечно-сосудистые средства;102,00;101,78;101,21;101,64;100,98
средства для лечения нервной системы;101,51;101,11;100,95;100,71;100,80
противоопухолевые  и  иммуномодулирующие средства;100,56;99,03;100,59;100,73;100,86
средства для лечения крови  и  кроветворных органов;101,34;100,86;100,39;100,43;99,92
средства для лечения дыхательной системы;102,97;102,27;101,14;100,07;100,68
прочие товары медицинского назначения;;;;;
бинт;99,92;100,02;100,84;100,66;100,44
вата;100,28;99,99;99,79;100,11;99,90
шприц;100,26;100,24;100,37;102,22;100,13
очки, оправы;99,86;99,93;100,34;102,36;100,23
аппарат для измерения артериального давления;100,16;100,29;101,20;100,80;99,49
термометр медицинский;100,19;101,79;100,77;100,87;99,88
АВТОМОБИЛИ ЛЕГКОВЫЕ И ЗАПЧАСТИ;99,86;99,17;101,35;101,35;99,66
автомобиль легковой;98,07;99,37;101,94;101,37;98,64
шины для легкового автомобиля;100,29;100,24;100,89;100,68;100,28
запасные части к транспортным средствам;102,91;98,71;100,44;101,39;101,30
ВЕЛОСИПЕДЫ И МОТОЦИКЛЫ;100,13;100,92;101,24;100,89;100,60
велосипед (кроме детского);100,09;100,99;101,41;101,04;100,49
